taxon	order_in_fasta	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AGD94655|Schmallenberg_virus	84	AGD94655	Schmallenberg virus	Na2-BHK21-P10	2012	sheep	Belgium	Europe	Simbu
AGU16231|Schmallenberg_virus	92	AGU16231	Schmallenberg virus	HL1	2011	Ovis aries	Netherlands	Europe	Simbu
AGU16235|Schmallenberg_virus	93	AGU16235	Schmallenberg virus	F6	2011	Bos taurus	Netherlands	Europe	Simbu
AIP98320|Schmallenberg_virus	150	AIP98320	Schmallenberg virus	79.4	2012	Bos taurus	"Switzerland: Muehleberg, BE"	Europe	Simbu
AIP98325|Schmallenberg_virus	151	AIP98325	Schmallenberg virus	175.2	2012	Bos taurus	Liechtenstein: Bendern	Europe	Simbu
AIP98326|Schmallenberg_virus	152	AIP98326	Schmallenberg virus	200.2	2012	Bos taurus	Liechtenstein: Bendern	Europe	Simbu
AKA63349|Schmallenberg_virus	178	AKA63349	Schmallenberg virus	BH119/14-1/2	2014	Bos taurus	Germany	Europe	Simbu
AKA63350|Schmallenberg_virus	179	AKA63350	Schmallenberg virus	BH119/14-3/4	2014	Bos taurus	Germany	Europe	Simbu
AKA63351|Schmallenberg_virus	180	AKA63351	Schmallenberg virus	D495/12-1	2012	Bos taurus	Germany	Europe	Simbu
AKA63352|Schmallenberg_virus	181	AKA63352	Schmallenberg virus	BH652/12	2012	Bos taurus	Germany	Europe	Simbu
AKA63353|Schmallenberg_virus	182	AKA63353	Schmallenberg virus	BH619/12	2012	Bos taurus	Germany	Europe	Simbu
AKA63354|Schmallenberg_virus	183	AKA63354	Schmallenberg virus	BH132/14	2014	Bos taurus	Germany	Europe	Simbu
AQY63024|Schmallenberg_virus	315	AQY63024	Schmallenberg virus	SBV-Hun1	2014	Bos taurus	Hungary	Europe	Simbu
AQY63028|Schmallenberg_virus	316	AQY63028	Schmallenberg virus	SBV-Hun2	2014	Bos taurus	Hungary	Europe	Simbu
AQY63032|Schmallenberg_virus	317	AQY63032	Schmallenberg virus	SBV-Hun3	2014	Bos taurus	Hungary	Europe	Simbu
AQY63036|Schmallenberg_virus	318	AQY63036	Schmallenberg virus	SBV-Hun4	2012	Bos taurus	Hungary	Europe	Simbu
AQY63040|Schmallenberg_virus	319	AQY63040	Schmallenberg virus	SBV-Hun5	2014	Bos taurus	Hungary	Europe	Simbu
AQY63044|Schmallenberg_virus	320	AQY63044	Schmallenberg virus	SBV-Hun6	2014	Bos taurus	Hungary	Europe	Simbu
AQY63048|Schmallenberg_virus	321	AQY63048	Schmallenberg virus	SBV-Hun7	2014	Bos taurus	Hungary	Europe	Simbu
